year,force,million_km
2015,Warwickshire,9301
2015,West Mercia,12948
2015,West Midlands,33042
2015,West Yorkshire,32039
2015,Wiltshire,7737
2016,Avon and Somerset,16780
2016,Bedfordshire,5498
2016,Cambridgeshire,9781
2016,Cheshire,12413
2016,Cleveland,4300
2016,Cumbria,5839
2016,Derbyshire,9754
2016,Devon and Cornwall,15365
2016,Dorset,5707
2016,Durham,4858
2016,Dyfed-Powys,5470
2016,Essex,17384
2016,Gloucestershire,6615
2016,Greater Manchester,36273
2016,Gwent,5629
2016,Hampshire,18785
2016,Hertfordshire,12489
2016,Humberside,7457
2016,Kent,16666
2016,Lancashire,12731
2016,Leicestershire,9890
2016,Lincolnshire,6239
2016,City of London,154
2016,Merseyside,15952
2016,Metropolitan,29537
2016,Norfolk,8454
2016,North Wales,6779
2016,North Yorkshire,9634
2016,Northamptonshire,8799
2016,Northumbria,10187
2016,Nottinghamshire,8937
2016,South Wales,11142
2016,South Yorkshire,20677
2016,Staffordshire,11057
2016,Suffolk,6420
2016,Surrey,14319
2016,Sussex,13247
2016,Thames Valley,25942
2016,Warwickshire,9488
2016,West Mercia,13217
2016,West Midlands,33868
2016,West Yorkshire,33094
2016,Wiltshire,7903
