ONS Code,Region/Local Authority,Poor or defective road surface ,"Deposit on road (eg. oil, mud, chippings)",Slippery road (due to weather),Inadequate or masked signs or road markings,Defective traffic signals,"Traffic calming (eg. road humps, chicane)",Temporary road layout (eg. contraflow),"Road layout (eg. bend, hill, narrow road)",Animal or object in carriageway ,Slippery inspection cover or road marking,"Tyres illegal, defective or under inflated",Defective lights or indicators,Defective brakes,Defective steering or suspension,Defective or missing mirrors,Overloaded or poorly loaded vehicle or trailer,Disobeyed automatic traffic signal,Disobeyed 'Give Way' or 'Stop' sign or markings,Disobeyed double white lines,Disobeyed pedestrian crossing facility,Illegal turn or direction of travel,Exceeding speed limit,Travelling too fast for conditions,Following too close,Vehicle travelling along pavement,Cyclist entering road from pavement,Junction overshoot,Junction restart (moving off at junction),Poor turn or manoeuvre,Failed to signal or misleading signal,Driver/Rider failed to look properly,Driver/Rider failed to judge other person’s path or speed,"Too close to cyclist, horse rider or pedestrian",Sudden braking,Swerved,Loss of control,Driver/Rider impaired by alcohol,Driver/Rider impaired by drugs (illicit or medicinal),Fatigue,"Uncorrected, defective eyesight","Driver/Rider illness or disability, mental or physical",Not displaying lights at night or in poor visibility,Rider wearing dark clothing,Driver using mobile phone,Distraction in vehicle,Distraction outside vehicle,Aggressive driving,"Driver/Rider careless, reckless or in a hurry","Driver/Rider nervous, uncertain or panic",Driving too slow for conditions or slow veh (eg tractor),Learner or inexperienced driver/rider,Inexperience of driving on the left,Unfamiliar with model of vehicle,Stationary or parked vehicle(s),Vegetation,"Road layout (eg. bend, winding road, hill crest)","Buildings, road signs, street furniture",Dazzling headlights,Dazzling sun,"Rain, sleet, snow, or fog",Spray from other vehicles,"Visor or windscreen dirty, scratched or frosted etc.",Vehicle blind spot,Crossing road masked by stationary or parked vehicle,Pedestrian failed to look properly,Pedestrian failed to judge vehicle’s path or speed,Pedestrian wrong use of pedestrian crossing facility,Dangerous action in carriageway (eg. playing),Pedestrian impaired by alcohol,Pedestrian impaired by drugs (illicit or medicinal),"Pedestrian careless, reckless or in a hurry",Pedestrian wearing dark clothing at night,"Pedestrian disability or illness, mental or physical",Stolen vehicle,Vehicle in course of crime,Emergency vehicle on a call,Vehicle door opened or closed negligently,Other
E12000001,North East,27,71,483,14,7,5,9,76,39,1,11,7,32,6,0,5,66,99,7,14,23,173,272,269,13,51,123,78,578,77,1670,843,59,306,123,420,199,50,58,8,84,20,16,17,117,65,167,715,71,4,195,17,30,134,15,52,12,13,182,89,14,10,48,109,467,108,43,48,126,24,183,38,21,39,18,23,5,87
E06000047,County Durham,3,16,99,2,2,2,0,19,10,1,3,2,4,3,0,0,8,22,2,3,3,42,77,58,2,3,17,3,126,24,340,183,8,48,25,84,48,9,15,0,14,5,2,8,24,15,37,104,9,1,44,2,7,26,4,14,2,5,42,21,2,1,2,15,73,20,2,3,12,1,32,7,3,8,4,8,2,23
E06000005,Darlington,1,1,17,0,0,0,0,3,1,0,0,0,1,0,0,0,2,5,2,1,2,15,15,12,0,4,4,1,23,4,83,34,4,12,2,21,10,1,2,1,3,0,1,2,7,3,7,33,1,0,12,1,1,8,0,1,0,0,9,3,1,1,1,2,14,6,1,1,4,0,3,2,1,1,0,0,0,10
E08000020,Gateshead,2,4,44,1,0,0,0,6,2,0,0,0,3,0,0,2,9,10,0,0,0,20,24,33,0,4,16,11,64,6,157,73,2,37,9,35,12,4,3,1,7,0,2,1,16,4,14,82,11,1,18,1,1,15,1,5,0,2,17,8,0,1,4,12,33,7,2,0,7,2,12,4,1,1,4,3,0,4
E06000001,Hartlepool,0,2,10,0,0,0,0,1,1,0,0,0,0,0,0,0,3,3,0,0,1,3,4,3,0,1,2,4,11,1,42,25,0,8,3,9,4,1,0,0,6,1,0,0,1,2,7,12,1,0,3,0,1,7,2,1,1,0,4,3,0,1,3,4,17,2,1,2,4,1,11,0,0,1,0,1,0,5
E06000002,Middlesbrough,0,4,15,1,1,1,1,2,0,0,0,1,1,0,0,1,5,7,0,0,2,7,3,15,2,7,4,2,26,1,89,54,3,17,6,9,8,0,1,0,1,1,0,0,3,4,11,42,4,0,11,0,1,11,0,2,0,0,5,4,1,0,2,14,45,5,3,5,12,2,19,2,1,1,0,2,0,4
E08000021,Newcastle upon Tyne,0,0,36,3,1,0,0,4,1,0,1,1,6,0,0,0,15,9,0,1,6,12,21,31,2,6,18,13,67,12,242,104,12,40,10,35,21,6,6,1,9,4,3,0,15,9,15,96,8,0,14,2,3,15,2,3,3,1,17,11,2,2,6,17,91,16,18,9,48,3,31,5,2,7,4,3,0,9
E08000022,North Tyneside,3,5,38,3,1,0,3,5,3,0,1,1,0,0,0,0,1,5,0,4,1,9,19,18,1,5,15,3,31,7,118,55,6,25,5,35,16,3,3,0,4,2,2,1,3,0,11,58,10,0,13,2,3,7,2,3,0,0,9,10,0,0,8,6,34,9,2,7,4,3,10,1,4,3,1,0,1,4
E06000048,Northumberland,11,25,112,3,1,0,1,17,11,0,1,1,5,1,0,1,2,16,2,1,2,24,62,25,1,2,15,12,87,8,191,98,6,42,28,102,28,8,18,3,21,2,0,4,16,10,18,106,8,2,25,4,5,11,0,14,2,1,30,6,4,0,8,9,33,15,1,6,9,4,16,6,4,6,2,1,0,9
E06000003,Redcar and Cleveland,1,4,27,0,0,1,3,6,2,0,1,0,3,0,0,0,5,3,0,1,3,11,10,14,0,3,1,5,23,2,53,29,2,13,7,24,7,2,1,0,3,0,1,0,3,3,6,25,2,0,13,3,3,5,1,3,0,1,9,5,1,2,2,6,26,5,2,4,4,2,11,2,0,0,0,2,0,4
E08000023,South Tyneside,2,3,22,0,1,1,0,0,3,0,1,0,2,0,0,0,1,7,1,1,0,6,4,11,2,5,10,4,18,3,80,39,4,14,7,7,8,4,3,1,2,1,0,0,4,2,9,38,5,0,11,1,2,10,2,3,1,0,6,3,1,0,4,9,26,6,4,5,6,2,8,1,1,1,1,2,0,4
E06000004,Stockton-on-Tees,1,2,21,0,0,0,1,8,3,0,1,0,3,0,0,0,8,4,0,2,2,14,15,21,2,3,6,10,43,2,102,67,3,14,8,25,16,7,3,0,7,3,3,0,8,5,9,49,4,0,15,0,2,3,0,3,2,2,10,6,0,2,5,5,26,8,1,1,5,2,13,5,0,3,0,0,2,3
E08000024,Sunderland,3,5,42,1,0,0,0,5,2,0,2,1,4,2,0,1,7,8,0,0,1,10,18,28,1,8,15,10,59,7,173,82,9,36,13,34,21,5,3,1,7,1,2,1,17,8,23,70,8,0,16,1,1,16,1,0,1,1,24,9,2,0,3,10,49,9,6,5,11,2,17,3,4,7,2,1,0,8
E12000002,North West,84,142,1076,72,28,14,33,247,90,1,72,18,88,21,0,25,322,386,32,47,97,480,884,760,61,139,356,323,1932,254,5554,3035,234,766,356,1397,556,70,144,27,217,48,71,51,313,184,461,1468,183,11,542,31,86,532,42,137,43,35,325,315,34,19,190,398,1450,509,112,186,312,34,551,141,69,107,72,79,51,344
E06000008,Blackburn with Darwen,3,5,37,3,1,0,1,5,0,0,2,0,0,1,0,0,10,8,1,2,5,20,39,24,2,3,7,9,59,8,172,104,6,25,16,43,19,2,2,2,3,0,1,2,15,3,14,60,10,0,20,2,4,25,0,5,2,1,11,19,1,0,3,26,60,28,0,9,6,0,22,6,1,1,2,2,2,9
