Year,Country,Region,Police force,Offence,Total FPNS,Camera detected FPNS
2010,England,South West,Devon and Cornwall,Speed limit offences,35097,15436
2010,England,South West,Devon and Cornwall,Neglect of traffic directions,7100,2607
2010,England,South West,Dorset,Speed limit offences,36622,32265
2010,England,South West,Dorset,Neglect of traffic directions,771,324
2010,England,North East,Durham,Speed limit offences,3977,2957
2010,England,North East,Durham,Neglect of traffic directions,312,0
2010,England,East of England,Essex,Speed limit offences,43620,17926
2010,England,East of England,Essex,Neglect of traffic directions,5344,2317
2010,England,South West,Gloucestershire,Speed limit offences,5964,4325
2010,England,South West,Gloucestershire,Neglect of traffic directions,730,394
2010,England,North West,Greater Manchester,Speed limit offences,43292,41675
2010,England,North West,Greater Manchester,Neglect of traffic directions,7713,5325
2010,England,South East,Hampshire,Speed limit offences,30319,24143
2010,England,South East,Hampshire,Neglect of traffic directions,2842,956
2010,England,East of England,Hertfordshire,Speed limit offences,28061,26358
2010,England,East of England,Hertfordshire,Neglect of traffic directions,3786,3249
2010,England,Yorkshire & The Humber,Humberside,Speed limit offences,22237,18298
2010,England,Yorkshire & The Humber,Humberside,Neglect of traffic directions,2131,75
2010,England,South East,Kent,Speed limit offences,22873,15828
2010,England,South East,Kent,Neglect of traffic directions,1645,0
2010,England,North West,Lancashire,Speed limit offences,24743,21577
2010,England,North West,Lancashire,Neglect of traffic directions,1769,0
2010,England,East Midlands,Leicestershire,Speed limit offences,15111,13306
2010,England,East Midlands,Leicestershire,Neglect of traffic directions,6238,4333
2010,England,East Midlands,Lincolnshire,Speed limit offences,18698,16303
2010,England,East Midlands,Lincolnshire,Neglect of traffic directions,1014,0
2010,England,London,"London, City of",Speed limit offences,2188,1892
2010,England,London,"London, City of",Neglect of traffic directions,1335,1221
2010,England,North West,Merseyside,Speed limit offences,29471,19715
2010,England,North West,Merseyside,Neglect of traffic directions,6100,323
2010,England,London,Metropolitan Police,Speed limit offences,24088,20423
2010,England,London,Metropolitan Police,Neglect of traffic directions,22796,7567
2010,England,East of England,Norfolk,Speed limit offences,17878,12434
2010,England,East of England,Norfolk,Neglect of traffic directions,1322,50
2010,England,East Midlands,Northamptonshire,Speed limit offences,9120,8237
2010,England,East Midlands,Northamptonshire,Neglect of traffic directions,2322,1713
2010,England,North East,Northumbria,Speed limit offences,19424,18488
2010,England,North East,Northumbria,Neglect of traffic directions,4140,1549
2010,England,Yorkshire & The Humber,North Yorkshire,Speed limit offences,14310,5465
2010,England,Yorkshire & The Humber,North Yorkshire,Neglect of traffic directions,1639,0
2010,England,East Midlands,Nottinghamshire,Speed limit offences,17795,16614
2010,England,East Midlands,Nottinghamshire,Neglect of traffic directions,9070,8006
2010,England,Yorkshire & The Humber,South Yorkshire,Speed limit offences,14871,10900
2010,England,Yorkshire & The Humber,South Yorkshire,Neglect of traffic directions,4512,2360
2010,England,West Midlands,Staffordshire,Speed limit offences,40719,19726
2010,England,West Midlands,Staffordshire,Neglect of traffic directions,1577,471
2010,England,East of England,Suffolk,Speed limit offences,23263,19685
2010,England,East of England,Suffolk,Neglect of traffic directions,1184,0
2010,England,South East,Surrey,Speed limit offences,22941,20767
2010,England,South East,Surrey,Neglect of traffic directions,4581,3732
2010,England,South East,Sussex,Speed limit offences,30398,24088
2010,England,South East,Sussex,Neglect of traffic directions,4682,3561
2010,England,South East,Thames Valley,Speed limit offences,52104,39431
2010,England,South East,Thames Valley,Neglect of traffic directions,2073,1005
2010,England,West Midlands,Warwickshire,Speed limit offences,19897,17792
2010,England,West Midlands,Warwickshire,Neglect of traffic directions,2555,2285
2010,England,West Midlands,West Mercia,Speed limit offences,31712,28324
2010,England,West Midlands,West Mercia,Neglect of traffic directions,1333,485
2010,England,West Midlands,West Midlands,Speed limit offences,32906,29586
2010,England,West Midlands,West Midlands,Neglect of traffic directions,6798,3332
2010,England,Yorkshire & The Humber,West Yorkshire,Speed limit offences,25007,19126
2010,England,Yorkshire & The Humber,West Yorkshire,Neglect of traffic directions,6901,3169
2010,England,South West,Wiltshire,Speed limit offences,25888,20932
2010,England,South West,Wiltshire,Neglect of traffic directions,1464,274
2010,Wales,Wales,Dyfed-Powys,Speed limit offences,10989,7367
2010,Wales,Wales,Dyfed-Powys,Neglect of traffic directions,977,0
2010,Wales,Wales,Gwent,Speed limit offences,13021,12518
2010,Wales,Wales,Gwent,Neglect of traffic directions,1213,610
2010,Wales,Wales,North Wales,Speed limit offences,21282,18279
2010,Wales,Wales,North Wales,Neglect of traffic directions,597,0
2010,Wales,Wales,South Wales,Speed limit offences,23002,21180
2010,Wales,Wales,South Wales,Neglect of traffic directions,3375,2401
2009,England,East Midlands,Derbyshire,Total camera detections,11959,9232
2009,England,East Midlands,Leicestershire,Total camera detections,18013,14711
2009,England,East Midlands,Lincolnshire,Total camera detections,19864,15863
2009,England,East Midlands,Northamptonshire,Total camera detections,14174,12341
2009,England,East Midlands,Nottinghamshire,Total camera detections,40357,38048
2009,England,East Midlands Total,* Region Total,Total camera detections,104367,90195
2009,England,East of England,Bedfordshire,Total camera detections,15481,14123
2009,England,East of England,Cambridgeshire,Total camera detections,15814,12355
2009,England,East of England,Essex,Total camera detections,36879,27320
2009,England,East of England,Hertfordshire,Total camera detections,33033,30663
2009,England,East of England,Norfolk,Total camera detections,17717,11817
2009,England,East of England,Suffolk,Total camera detections,36573,30101
2009,England,East of England Total,* Region Total,Total camera detections,155497,126379
2009,England,London,"London, City of",Total camera detections,3116,2823
2009,England,London,Metropolitan Police,Total camera detections,66398,54048
2009,England,London Total,* Region Total,Total camera detections,69514,56871
2009,England,North East,Cleveland,Total camera detections,10029,6275
2009,England,North East,Durham,Total camera detections,3803,2171
2009,England,North East,Northumbria,Total camera detections,25044,21114
2009,England,North East Total,* Region Total,Total camera detections,38876,29560
2009,England,North West,Cheshire,Total camera detections,25564,17319
2009,England,North West,Cumbria,Total camera detections,21123,18758
2009,England,North West,Greater Manchester,Total camera detections,58688,52610
2009,England,North West,Lancashire,Total camera detections,36262,30265
2009,England,North West,Merseyside,Total camera detections,45019,24863
2009,England,North West Total,* Region Total,Total camera detections,186656,143815
2009,England,South East,Hampshire,Total camera detections,31994,24723
2009,England,South East,Kent,Total camera detections,27617,20271
2009,England,South East,Surrey,Total camera detections,30848,28516
2009,England,South East,Sussex,Total camera detections,33751,27516
2009,England,South East,Thames Valley,Total camera detections,59552,50382
2009,England,South East Total,* Region Total,Total camera detections,183762,151408
2009,England,South West,Avon and Somerset,Total camera detections,60306,57503
2009,England,South West,Devon and Cornwall,Total camera detections,46837,19565
2009,England,South West,Dorset,Total camera detections,24061,21898
2009,England,South West,Gloucestershire,Total camera detections,4791,3114
2009,England,South West,Wiltshire,Total camera detections,29280,25869
2009,England,South West Total,* Region Total,Total camera detections,165275,127949
2009,England,West Midlands,Staffordshire,Total camera detections,43165,20285
2009,England,West Midlands,Warwickshire,Total camera detections,34177,31412
2009,England,West Midlands,West Mercia,Total camera detections,41613,36628
2009,England,West Midlands,West Midlands,Total camera detections,52742,41754
2009,England,West Midlands Total,* Region Total,Total camera detections,171697,130079
2009,England,Yorkshire & The Humber,Humberside,Total camera detections,27829,19522
2009,England,Yorkshire & The Humber,North Yorkshire,Total camera detections,9587,740
2009,England,Yorkshire & The Humber,South Yorkshire,Total camera detections,15143,9138
2009,England,Yorkshire & The Humber,West Yorkshire,Total camera detections,30727,18947
2009,England,Yorkshire & The Humber Total,* Region Total,Total camera detections,83286,48347
