POA category,Avon & Somerset,Bedfordshire,Cambridgeshire,Cheshire,Cleveland,Cumbria,Derbyshire,Devon & Cornwall,Dorset,Durham,Dyfed-Powys,Essex,Gloucestershire,Greater Manchester,Gwent,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,Merseyside,Norfolk,North Wales,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Wales,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire,City of London,Metropolitan
TOTAL Local Policing,1351.86,433.56,559.24,1046,803.62,636.7,891,1323.29,625.9,563.1,627,1292.8,552,2976.8,692,1255.5,924.38,760.16,1766,1587,852.65,535.8,1715.26,891.9,806.84,738,550,2261.485,1113.636333,1319,1307.5,1041.96,567,938.15,1466.95,2088.21,418,1061,3331.3,2277.74,497,181.4,14315.4
Neighbourhood Policing,273.09,22,550.24,168,215.45,450.8,155,264.54,125.3,157.2,578,1178.8,537,1454.6,633,380,226,141.23,1539,530,348.22,109.4,606.2,232.8,105,111,172.5,649.795,258.9358573,218,252.2,189.24,95.8,362.7,306.65,664.02,59,160,1637.88,976.14,119,13,5040.1
Incident (response) Management,1020.77,378,0,807,541.48,164.5,687,961.15,489.1,374,0,0,0,1316.3,10,831,636,571.3,0,957,402.76,406.4,983.6,607.3,645,594,352,1535.29,761.6046586,953,978,757.09,419.2,535.45,1087,1343.19,346,863,1308.26,1032.37,336,159.4,7314
TOTAL Dealing with the Public,21,9.64,35.7,37,20.45,37.7,19,61.6,22,34,7,53,30,200,23,33,37,21.49,25.5,42,22.3,16,157.05,27.5,17,9,38.5,47.4614,43.30882793,26,13,16.59,11,14.45,15,39,12,30,196.1,115.34,7,38.1,644.3
Local Call Centres / Front Desk,0,0,0,0,0,0,0,0,0,5,0,11,0,50.6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.14,0,0,0,0
Central Communications Unit,20,7,34.7,32,20.45,36.2,18,60.6,15,29,6,38,27,147.3,16,31,36,20.49,10.5,42,20.3,15,156.05,26.5,16,8,38.5,37.6614,39.40692444,24,13,15.6,6,14.45,11,37,12,30,19.96,115.34,4,38.1,644.3
TOTAL Criminal Justice Arrangements,69,19.8,38,52,35.08,33.3,31,93,34.8,43.2,48,94.13,17,151.2,25,90,44.7,33,50,65,38,22.5,190,46.3,47,35,45.5,47.333,53.06717876,112,62.1,43.99,43,45,92.8,121,22,60,150.12,70.49,27,11,630.3
Custody,65,17,37,46,30.31,27.8,30,88,27,30,44,75.13,15,122.7,21,88,38,22,46,65,33,20.5,92,44.3,45,34,27,41.502,50.24696126,71,56,38.05,41,45,77,89,19,51,134.34,68,25,1,580.8
Criminal Justice,3,1,1,4,1,3,0,3,6.8,12.2,4,17,0,24.2,4,2,4,9,0,0,3,0,93,1,2,0,16.5,1.911,0,40,1.1,1.98,2,0,11.8,18,2,5,7.78,1,0,10,48.5
TOTAL Road Policing,78.5,49.5,72.34,105.4,33,75.4,67.2,118.4,50.4,74,82,130.25,44,216.8,72,164,99.16,79,110,132,62.25,5,129,92,70,96,19,144.4618,36.29642841,134,89.7,47.38,43.07,106,160.8,198,38,80,209.88,139.31,36,10,735.2
