POA category,Avon & Somerset,Bedfordshire,Cambridgeshire,Cheshire,Cleveland,Cumbria,Derbyshire,Devon & Cornwall,Dorset,Durham,Dyfed-Powys,Essex,Gloucestershire,Greater Manchester,Gwent,Hampshire,Hertfordshire,Humberside,Kent,Lancashire,Leicestershire,Lincolnshire,Merseyside,Norfolk,North Wales,North Yorkshire,Northamptonshire,Northumbria,Nottinghamshire,South Wales,South Yorkshire,Staffordshire,Suffolk,Surrey,Sussex,Thames Valley,Warwickshire,West Mercia,West Midlands,West Yorkshire,Wiltshire,City of London,Metropolitan
TOTAL Operational Support,225.84,78.5,56.77,88,75.88,51.6,111.8,233.75,81,36,81,287,80,436.5,85,171,73.23,117.5,164.5,202,119,90.8,330.4,36,74,134,77,171.1864,103.6034988,218,176.5,116.56,56.4,83,260.4,179,71,179,348.7,221.25,68,109.2,1844
TOTAL Intelligence,151.98,38,110.9,73,80.62,46.1,78,111.98,53.4,77.9,29.2,152.96,72,316.3,53,119,77,86.92,153.14,113,122.4,56.4,201,45.6,31,78,44,157.0442,106.1679902,108,113.5,41.45,45.85,74,86.1,258.76,38,89,369.41,133,34.5,59.1,1281
Intelligence Analysis / Threat Assessments,31.6,0,13.21,0,27.19,19.8,20,27.6,0,39,18.7,0,25,170.7,19,38,30,35.32,55.5,40,50.3,31.6,44.5,22,7,26,28,97.3132,50.88836971,59,68.6,10.67,31.45,18,16.2,93.21,6,15,130.33,79,13,18,696.2
Intelligence Gathering,102.38,38,96.69,72,51.55,23.8,56,80.08,47.4,36.9,9.5,152.96,45,142.2,31,76,44,50.6,92.14,73,63.6,22.8,152.5,23.6,23,51,16,54.831,52.41291585,45,44.9,22.99,12.4,56,61.9,154.55,32,74,231.08,54,19.5,35.1,581.8
TOTAL Investigations,578.8,336,395.22,485.6,214.29,179.7,498,884.89,242.4,288.8,182.9,783.39,206,1410.2,187,850.83,599.46,424.4,666,625,631.75,298.3,817.45,346.2,270.37125,241,399,495.6102,487.1734164,767,640.9,352.74,310.6,546.2,558.7,1019.91,200.6,455.4,2038.16,1283.47,264.5,184.93,7799.1
Local Investigation/ prisoner processing,66,107,156,230,26.86,84.3,249,414.4,127.8,168.9,74,286.11,122,683.7,102,535,366.5,203.86,374,356,331.54,174.3,280.55,175.1,132.995,114,223.5,113.6016,232.1642756,484,297.7,141.39,205.5,262.3,258,579.59,128,259,741.35,654.39,161.5,36.1,2929.5
TOTAL Investigative support,2,9,0,13,0,6.2,10,9.3,0,0,2,12,4,7.5,0,15,2,3,0.5,3,2,1,0,0,5,5,0,14.4158,4.777841007,8,7,2.96,6.09,3,2,0,1,0,27,0,3,5,19.7
Scenes of Crime Officers,0,0,0,0,0,0,0,5,0,0,2,6,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,16.4
TOTAL National Policing,76.3,209.75,28.65,36,27.77,18.8,122,44.1,56,36,75.4,157,51,345,19,76,22.84,44,216.3,65,68.95,20,122.2,41.9,68.6,29,11,39.351,48.80258304,109,38.6,35.19,25,17,127,220,3,16.5,339,282.79,39,89.77,3613.9
TOTAL Support Functions,97.09,53,47.8,71,36.29,48,51,157.08,45.1,47,48,108.1,52,274.6,38,83.5,41.89,47.56,129.5,98,69.31,25.9,137,43.2,47.85,28,36,98.6462,46.29981905,121,81.3,41.51,38,77.7,92.2,90.05,14,40,178.33,165.75,43,41.6,1464.1
Human Resources,0,0,0,0,0,0,1,2,0,0,0,0,0,3.1,0,2,2,0,0,0,0,0,0,3,1,0,1,0,0.159261367,0,2,1.98,0,1,0,1,0,0,1,0,0,1,24
Finance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.955568201,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Information Communication Technology,0,0,0,0,0,1,0,0,5,0,0,0,0,0,6,0,7,0,1,0,0,2,0,0,0,0,0,0,0.955568201,6,0,1,0,0,0,0,0,0,0,0,0,0,23.9
Training,70.44,26,20.8,32,12.79,17.7,25,68.89,23.5,26,31,72.6,31,119,10,46,11.5,29.25,100.5,56,30.31,4.9,59,20,27.85,14,17,47.4516,13.85573892,65,40.9,19.75,21,44,66.2,55.65,6,20,87.5,60.2,26,20.6,482.9
Administration Support,0,1,0,14,0.94,0,2,5.5,0,0,1,0,2,26.8,0,0,0,1,0,10,0,1,0,0,0,1,0,0,0,0,0,0,2,6.6,0,1,1,7,0,0,0,0,413
TOTAL Crime Commissioner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL Central Costs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Level 2 Summary,2652.37,1236.75,1344.62,2007,1327,1133.5,1879,3037.39,1211,1200,1182.5,3070.63,1108,6334.9,1194,2857.83,1921.66,1617.03,3281.44,2932,1988.61,1071.7,3799.36,1570.6,1437.66125,1393,1220,3476.995,2043.133917,2922,2530.1,1740.33,1146.01,1904.5,2861.95,4213.93,817.6,2010.9,7188,4689.14,1019,730.1,32347
