ONS Code,Region/Local Authority,Dry,Wet or flood,Snow or ice,Fatal,Serious,Slight,All
E12000001,North East,4126,1463,206,56,731,5008,5795
E06000047,County Durham,747,332,65,17,158,969,1144
E06000005,Darlington,162,69,8,0,35,204,239
E08000020,Gateshead,355,157,7,4,57,458,519
E06000001,Hartlepool,111,26,3,2,27,111,140
E06000002,Middlesbrough,225,54,5,0,26,258,284
E08000021,Newcastle upon Tyne,563,192,6,3,79,679,761
E08000022,North Tyneside,323,103,9,3,42,390,435
E06000048,Northumberland,508,239,69,14,125,677,816
E06000003,Redcar and Cleveland,186,36,6,3,28,197,228
E08000023,South Tyneside,230,57,7,1,33,260,294
E06000004,Stockton-on-Tees,268,56,10,6,51,277,334
E08000024,Sunderland,448,142,11,3,70,528,601
E12000002,North West,11347,4736,306,200,2477,13726,16403
E06000008,Blackburn with Darwen,249,127,9,4,57,327,388
E06000009,Blackpool,344,101,3,1,69,380,450
E08000001,Bolton,358,156,18,13,58,461,532
E08000002,Bury,243,92,3,5,48,285,338
E06000049,Cheshire East,648,384,26,12,201,846,1059
E06000050,Cheshire West and Chester,688,234,28,14,190,746,950
E10000006,Cumbria,776,425,55,28,177,1051,1256
E06000006,Halton,197,74,7,5,33,240,278
E08000011,Knowsley,196,79,9,1,38,245,284
E10000017,Lancashire,2179,968,79,36,560,2638,3234
E08000012,Liverpool,929,280,5,9,175,1030,1214
E08000003,Manchester,981,397,8,16,154,1216,1386
E08000004,Oldham,303,140,6,7,60,382,449
E08000005,Rochdale,241,112,8,3,50,308,361
E08000006,Salford,335,109,3,5,49,393,447
E08000014,Sefton,416,120,6,5,77,460,542
E08000013,St. Helens,236,116,8,2,68,290,360
E08000007,Stockport,312,125,3,4,58,378,440
E08000008,Tameside,256,70,1,5,50,272,327
E08000009,Trafford,258,116,3,8,36,333,377
E06000007,Warrington,410,222,6,5,94,539,638
E08000010,Wigan,332,135,3,7,68,395,470
E08000015,Wirral,460,154,9,5,107,511,623
E12000003,Yorkshire and The Humber,9994,3215,278,162,1995,11331,13488
E08000016,Barnsley,390,151,18,7,69,483,559
E08000032,Bradford,990,293,25,12,197,1099,1308
E08000033,Calderdale,328,100,5,7,78,348,433
E08000017,Doncaster,695,235,11,7,128,806,941
E06000011,East Riding of Yorkshire,613,197,42,16,149,687,852
E06000010,"Kingston upon Hull, City of",651,147,3,3,106,692,801
E08000034,Kirklees,723,257,21,5,136,860,1001
E08000035,Leeds,1492,414,28,23,252,1659,1934
E06000012,North East Lincolnshire,378,123,5,2,73,431,506
E06000013,North Lincolnshire,377,121,24,6,76,440,522
E10000023,North Yorkshire,1057,446,59,41,345,1177,1563
E08000018,Rotherham,482,182,11,4,78,593,675
E08000019,Sheffield,932,287,14,9,142,1082,1233
E08000036,Wakefield,552,169,5,13,115,598,726
E06000014,York,334,93,7,7,51,376,434
E12000004,East Midlands,8371,3037,284,178,1750,9954,11882
E06000015,Derby,594,201,8,4,86,713,803
E10000007,Derbyshire,1396,559,62,34,261,1722,2017
E06000016,Leicester,763,210,3,4,86,886,976
E10000018,Leicestershire,975,414,25,36,167,1211,1414
E10000019,Lincolnshire,1569,620,95,45,366,1944,2355
E10000021,Northamptonshire,917,313,22,18,255,979,1252
E06000018,Nottingham,706,203,2,1,139,820,960
E10000024,Nottinghamshire,1394,496,64,35,376,1613,2024
E06000017,Rutland,57,21,3,1,14,66,81
E12000005,West Midlands,9423,3071,246,172,1619,10949,12740
E08000025,Birmingham,1909,574,25,24,395,2089,2508
E08000026,Coventry,503,132,5,8,115,517,640
E08000027,Dudley,308,133,6,4,79,364,447
E06000019,"Herefordshire, County of ",316,128,13,12,50,395,457
E08000028,Sandwell,396,129,4,9,94,426,529
E06000051,Shropshire,483,174,29,12,91,583,686
E08000029,Solihull,294,94,5,3,51,339,393
E10000028,Staffordshire,1627,575,57,37,136,2086,2259
E06000021,Stoke-on-Trent,561,209,13,10,50,723,783
E06000020,Telford and Wrekin,255,59,6,4,33,283,320
E08000030,Walsall,305,97,5,2,62,343,407
E10000031,Warwickshire,1120,358,30,30,244,1234,1508
E08000031,Wolverhampton,343,92,6,3,69,369,441
E10000034,Worcestershire,1003,317,42,14,150,1198,1362
E12000006,East of England,10564,3563,247,188,1973,12213,14374
E06000055,Bedford,329,105,13,6,51,390,447
E10000003,Cambridgeshire,1315,393,30,23,275,1440,1738
E06000056,Central Bedfordshire,455,149,20,7,71,546,624
E10000012,Essex,2276,864,49,32,530,2627,3189
E10000015,Hertfordshire,1929,677,44,35,287,2328,2650
E06000032,Luton,402,99,2,3,46,454,503
E10000020,Norfolk,1360,468,36,41,263,1560,1864
E06000031,Peterborough,541,131,6,7,65,606,678
E06000033,Southend-on-Sea,358,69,0,2,61,364,427
E10000029,Suffolk,1287,521,43,28,270,1553,1851
E06000034,Thurrock,312,87,4,4,54,345,403
E12000007,London,20321,4088,59,155,2550,21763,24468
E09000002,Barking and Dagenham,409,66,1,4,41,431,476
E09000003,Barnet,912,196,5,8,125,980,1113
E09000004,Bexley,342,111,1,5,43,406,454
E09000005,Brent,634,119,8,3,65,693,761
E09000006,Bromley,546,152,2,6,69,625,700
E09000007,Camden,730,113,2,6,92,747,845
E09000001,City of London,304,47,4,0,49,306,355
E09000008,Croydon,774,189,3,9,95,862,966
