ONS Code,Region/Local Authority,Dry,Wet or flood,Snow or ice,Fatal,Serious,Slight,All
E09000009,Ealing,676,145,4,5,61,759,825
E09000010,Enfield,701,143,1,12,78,755,845
E09000011,Greenwich,611,137,0,2,84,662,748
E09000012,Hackney,682,119,0,3,104,694,801
E09000013,Hammersmith and Fulham,594,76,0,3,72,595,670
E09000014,Haringey,612,126,1,4,72,663,739
E09000015,Harrow,289,77,1,3,33,331,367
E09000016,Havering,480,124,3,8,57,542,607
E09000017,Hillingdon,603,139,8,5,61,684,750
E09000018,Hounslow,630,154,4,7,65,716,788
E09000019,Islington,730,123,0,4,92,757,853
E09000020,Kensington and Chelsea,613,102,0,5,75,635,715
E09000021,Kingston upon Thames,322,52,2,2,42,332,376
E09000022,Lambeth,914,201,2,10,156,951,1117
E09000023,Lewisham,739,151,0,2,99,789,890
E09000024,Merton,354,49,0,1,45,357,403
E09000025,Newham,637,101,1,3,67,669,739
E09000026,Redbridge,612,117,1,2,67,661,730
E09000027,Richmond upon Thames,400,58,1,2,65,392,459
E09000028,Southwark,826,166,0,5,118,869,992
E09000029,Sutton,320,87,0,4,38,365,407
E09000030,Tower Hamlets,741,142,0,8,95,780,883
E09000031,Waltham Forest,547,112,3,4,63,595,662
E09000032,Wandsworth,779,171,1,4,105,842,951
E09000033,Westminster,1240,216,0,6,152,1298,1456
E09000018,London Airport (Heathrow),18,7,0,0,5,20,25
E12000008,South East,17396,5808,380,249,3622,19729,23600
E06000036,Bracknell Forest,157,65,7,2,25,202,229
E06000043,Brighton and Hove,721,169,3,5,159,729,893
E10000002,Buckinghamshire,921,291,30,17,168,1057,1242
E10000011,East Sussex,940,250,12,24,237,941,1202
E10000014,Hampshire,2365,819,69,41,668,2544,3253
E06000046,Isle of Wight,278,105,9,1,86,305,392
E10000016,Kent,3131,1013,59,41,426,3744,4211
E06000035,Medway,520,134,2,5,54,597,656
E06000042,Milton Keynes,486,166,12,12,75,585,672
E10000025,Oxfordshire,1225,409,64,24,300,1374,1698
E06000044,Portsmouth,551,131,2,0,141,543,684
E06000038,Reading,298,98,0,2,47,347,396
E06000039,Slough,343,88,2,0,44,389,433
E06000045,Southampton ,512,158,1,2,147,522,671
E10000030,Surrey,2859,1088,76,28,515,3480,4023
E06000037,West Berkshire,264,116,5,6,63,316,385
E10000032,West Sussex,1331,550,12,32,375,1486,1893
E06000040,Windsor and Maidenhead,282,88,5,4,52,319,375
E06000041,Wokingham,212,70,10,3,40,249,292
E12000009,South West,9006,3131,184,149,1630,10542,12321
E06000022,Bath and North East Somerset,280,102,3,4,17,364,385
E06000028,Bournemouth,461,89,0,2,69,479,550
E06000023,"Bristol, City of",772,265,3,10,140,890,1040
E06000052,Cornwall,900,461,16,18,177,1182,1377
E10000008,Devon,1303,523,32,18,198,1642,1858
E10000009,Dorset,712,208,37,15,171,771,957
E10000013,Gloucestershire,874,296,24,19,212,963,1194
E06000053,Isles of Scilly,1,0,0,0,0,1,1
E06000024,North Somerset,347,97,4,3,41,404,448
E06000026,Plymouth,526,175,5,5,64,637,706
E06000029,Poole,342,77,0,2,52,365,419
E10000027,Somerset,874,263,15,20,173,959,1152
E06000025,South Gloucestershire,389,116,7,1,29,482,512
E06000030,Swindon,322,102,10,1,69,364,434
E06000027,Torbay,227,82,0,1,29,279,309
E06000054,Wiltshire,676,275,28,30,189,760,979
E92000001,England,100548,32112,2190,1509,18347,115215,135071
