ONS Code,Region/Local Authority,Poor or defective road surface ,"Deposit on road (eg. oil, mud, chippings)",Slippery road (due to weather),Inadequate or masked signs or road markings,Defective traffic signals,"Traffic calming (eg. road humps, chicane)",Temporary road layout (eg. contraflow),"Road layout (eg. bend, hill, narrow road)",Animal or object in carriageway ,Slippery inspection cover or road marking,"Tyres illegal, defective or under inflated",Defective lights or indicators,Defective brakes,Defective steering or suspension,Defective or missing mirrors,Overloaded or poorly loaded vehicle or trailer,Disobeyed automatic traffic signal,Disobeyed 'Give Way' or 'Stop' sign or markings,Disobeyed double white lines,Disobeyed pedestrian crossing facility,Illegal turn or direction of travel,Exceeding speed limit,Travelling too fast for conditions,Following too close,Vehicle travelling along pavement,Cyclist entering road from pavement,Junction overshoot,Junction restart (moving off at junction),Poor turn or manoeuvre,Failed to signal or misleading signal,Driver/Rider failed to look properly,Driver/Rider failed to judge other person’s path or speed,"Too close to cyclist, horse rider or pedestrian",Sudden braking,Swerved,Loss of control,Driver/Rider impaired by alcohol,Driver/Rider impaired by drugs (illicit or medicinal),Fatigue,"Uncorrected, defective eyesight","Driver/Rider illness or disability, mental or physical",Not displaying lights at night or in poor visibility,Rider wearing dark clothing,Driver using mobile phone,Distraction in vehicle,Distraction outside vehicle,Aggressive driving,"Driver/Rider careless, reckless or in a hurry","Driver/Rider nervous, uncertain or panic",Driving too slow for conditions or slow veh (eg tractor),Learner or inexperienced driver/rider,Inexperience of driving on the left,Unfamiliar with model of vehicle,Stationary or parked vehicle(s),Vegetation,"Road layout (eg. bend, winding road, hill crest)","Buildings, road signs, street furniture",Dazzling headlights,Dazzling sun,"Rain, sleet, snow, or fog",Spray from other vehicles,"Visor or windscreen dirty, scratched or frosted etc.",Vehicle blind spot,Crossing road masked by stationary or parked vehicle,Pedestrian failed to look properly,Pedestrian failed to judge vehicle’s path or speed,Pedestrian wrong use of pedestrian crossing facility,Dangerous action in carriageway (eg. playing),Pedestrian impaired by alcohol,Pedestrian impaired by drugs (illicit or medicinal),"Pedestrian careless, reckless or in a hurry",Pedestrian wearing dark clothing at night,"Pedestrian disability or illness, mental or physical",Stolen vehicle,Vehicle in course of crime,Emergency vehicle on a call,Vehicle door opened or closed negligently,Other
E09000017,Hillingdon,1,1,35,0,3,1,0,1,4,0,3,0,2,2,0,1,19,45,0,5,4,33,62,107,1,8,7,3,99,7,460,138,11,63,25,91,18,1,4,1,7,3,1,0,10,37,16,155,8,0,11,1,1,22,1,2,0,0,7,3,0,1,6,17,83,27,5,4,5,0,51,0,3,3,7,7,5,17
E09000018,Hounslow,2,4,26,0,4,1,1,5,1,0,3,0,7,1,0,0,21,38,0,5,7,77,77,104,2,12,2,1,95,17,435,318,24,66,22,83,10,0,9,0,10,2,1,2,17,7,14,222,18,0,12,2,1,53,0,3,1,0,5,3,0,1,22,24,75,48,8,12,5,0,52,1,1,5,4,3,15,9
E09000019,Islington,2,2,11,0,1,0,0,0,0,0,1,0,1,0,0,2,18,35,0,9,5,10,24,31,1,3,1,4,73,15,391,83,19,52,19,59,4,0,2,0,2,4,2,1,6,8,18,158,7,0,1,0,0,28,0,0,0,0,2,2,0,0,14,26,131,14,12,2,12,0,87,1,1,1,2,5,23,23
E09000020,Kensington and Chelsea,1,1,21,0,0,2,2,0,2,0,0,1,0,0,0,0,25,26,0,4,5,23,15,65,0,1,2,3,183,11,451,280,112,56,14,69,10,0,2,0,4,4,1,0,10,4,26,166,5,0,2,0,0,39,0,1,0,0,4,9,0,0,11,37,117,73,39,28,8,2,48,4,1,0,1,2,14,18
E09000021,Kingston upon Thames,0,1,10,0,0,0,0,1,2,0,0,0,0,0,0,0,5,19,0,0,3,26,9,51,1,4,1,2,83,5,208,165,42,34,11,31,1,2,2,0,7,1,1,0,10,5,9,80,3,0,4,0,0,16,0,1,0,0,5,2,0,1,4,10,34,24,4,13,2,0,18,2,2,0,1,3,3,8
E09000022,Lambeth,2,4,21,0,2,0,3,2,2,0,2,0,3,1,0,0,32,46,0,7,6,41,18,67,2,6,8,14,177,41,569,205,48,88,44,108,20,1,4,0,7,2,4,2,22,14,29,244,14,0,4,0,0,59,1,0,1,0,0,2,0,0,10,49,172,54,23,13,18,0,113,3,0,1,1,8,17,24
E09000023,Lewisham,1,0,21,0,1,0,0,0,5,0,1,0,4,1,0,0,19,67,0,5,3,51,26,70,1,4,1,4,125,23,413,178,14,44,19,84,8,0,10,0,2,2,2,1,8,7,25,171,7,0,5,0,0,26,0,0,0,1,4,3,0,0,9,35,123,43,8,5,8,0,45,1,0,2,6,9,8,15
E09000024,Merton,1,0,8,0,1,1,1,5,3,0,0,0,1,1,0,0,4,20,0,1,3,38,8,50,0,4,0,1,79,7,254,152,41,31,9,44,5,0,5,1,1,1,0,1,7,1,15,95,2,0,1,0,1,28,0,2,0,1,3,3,0,1,4,15,58,42,15,13,5,0,28,1,0,0,1,1,1,6
E09000025,Newham,2,1,23,0,1,1,1,6,1,0,1,0,5,0,0,0,10,44,0,12,2,22,20,69,2,3,2,7,70,9,359,107,16,41,19,71,17,2,1,1,2,1,1,0,3,8,48,276,5,0,7,0,3,43,0,0,0,0,4,1,0,0,5,29,118,21,12,6,9,2,95,1,0,2,4,9,8,9
E09000026,Redbridge,0,1,25,0,2,1,0,7,3,0,1,0,0,1,1,0,10,42,0,5,8,31,31,79,1,2,2,9,76,9,337,110,11,39,27,62,11,2,2,0,5,1,3,1,8,3,36,199,5,0,5,0,2,27,1,1,0,0,4,10,2,0,10,22,79,23,4,7,7,0,53,2,1,2,6,4,4,18
E09000027,Richmond upon Thames,0,1,16,0,0,0,0,2,1,0,0,0,1,0,0,2,9,21,0,1,3,24,19,42,4,4,2,0,75,9,235,149,33,33,15,60,4,2,5,0,1,0,0,0,9,7,5,104,6,0,1,2,3,19,0,2,0,0,6,5,0,1,7,17,46,21,10,10,4,0,32,1,3,0,0,2,7,8
E09000028,Southwark,2,1,20,0,0,0,2,0,3,0,0,2,2,1,0,0,13,82,0,12,5,48,31,65,0,10,1,0,159,47,542,213,30,56,31,65,10,0,1,0,3,2,2,1,13,11,16,158,6,0,2,1,0,13,0,0,1,2,3,1,0,0,12,43,142,58,8,3,12,0,60,1,1,2,5,9,19,19
E09000029,Sutton,1,1,11,0,2,0,0,1,2,0,1,1,4,0,0,1,6,45,0,3,4,17,8,21,0,6,3,13,63,7,203,66,6,28,21,54,7,0,1,0,5,0,0,0,6,5,7,98,6,0,4,1,0,21,0,0,0,0,6,0,0,1,0,14,44,6,5,4,5,0,32,3,0,3,3,3,2,5
E09000030,Tower Hamlets,1,0,22,0,3,0,0,2,3,0,0,0,1,0,0,0,24,31,0,8,8,15,10,108,1,2,4,7,133,10,402,123,19,33,20,55,9,0,3,1,2,1,0,2,6,11,35,167,7,0,1,2,2,24,0,0,0,0,1,2,0,0,6,17,112,14,23,7,8,0,87,3,1,0,2,4,13,16
E09000031,Waltham Forest,2,4,25,0,0,0,1,7,3,0,3,1,2,1,0,0,5,44,0,8,7,31,19,49,1,4,1,3,51,6,314,81,14,27,25,70,13,1,2,0,4,1,0,1,6,9,38,260,5,0,2,2,1,38,0,1,0,1,4,2,0,1,7,18,81,8,12,4,2,0,71,0,0,2,7,4,5,14
E09000032,Wandsworth,1,0,35,0,2,0,3,6,3,0,0,1,2,0,0,1,15,41,1,11,9,53,64,79,2,4,5,4,153,31,486,364,68,61,23,83,15,0,4,0,7,2,3,3,16,5,13,233,22,1,8,0,3,73,0,0,0,1,4,5,0,0,27,34,115,79,24,22,9,0,70,1,3,2,3,7,10,22
