LAD16CD,LAD16NM,CSP16CD,CSP16NM,PFA16CD,PFA16NM,FID
E06000012,North East Lincolnshire,E22000135,North East Lincolnshire,E23000012,Humberside,100
E07000099,North Hertfordshire,E22000127,North Hertfordshire,E23000027,Hertfordshire,101
E07000035,Derbyshire Dales,E22000041,Derbyshire Dales,E23000018,Derbyshire,102
E07000170,Ashfield,E22000251,Ashfield,E23000019,Nottinghamshire,103
E09000015,Harrow,E22000200,Harrow,E23000001,Metropolitan Police,104
E07000237,Worcester,E22000332,South Worcester,E23000016,West Mercia,105
E07000243,Stevenage,E22000129,Stevenage,E23000027,Hertfordshire,106
E09000016,Havering,E22000201,Havering,E23000001,Metropolitan Police,107
E07000171,Bassetlaw,E22000252,Bassetlaw,E23000019,Nottinghamshire,108
E07000036,Erewash,E22000042,Erewash,E23000018,Derbyshire,109
E06000013,North Lincolnshire,E22000136,North Lincolnshire,E23000012,Humberside,110
E09000017,Hillingdon,E22000202,Hillingdon,E23000001,Metropolitan Police,111
E07000238,Wychavon,E22000332,South Worcester,E23000016,West Mercia,112
E07000102,Three Rivers,E22000130,Three Rivers,E23000027,Hertfordshire,113
E07000172,Broxtowe,E22000366,South Nottinghamshire,E23000019,Nottinghamshire,114
E07000037,High Peak,E22000043,High Peak,E23000018,Derbyshire,115
E06000014,York,E22000371,City of York,E23000009,North Yorkshire,116
E09000018,Hounslow,E22000203,Hounslow,E23000001,Metropolitan Police,117
E07000239,Wyre Forest,E22000368,North Worcestershire,E23000016,West Mercia,118
E07000103,Watford,E22000131,Watford,E23000027,Hertfordshire,119
E07000038,North East Derbyshire,E22000044,North East Derbyshire,E23000018,Derbyshire,120
E09000019,Islington,E22000204,Islington,E23000001,Metropolitan Police,121
E06000015,Derby,E22000040,Derby,E23000018,Derbyshire,122
E07000173,Gedling,E22000366,South Nottinghamshire,E23000019,Nottinghamshire,123
E07000240,St Albans,E22000128,St Albans,E23000027,Hertfordshire,124
E06000016,Leicester,E22000168,Leicester,E23000021,Leicestershire,125
E07000174,Mansfield,E22000255,Mansfield,E23000019,Nottinghamshire,126
E09000020,Kensington and Chelsea,E22000205,Kensington and Chelsea,E23000001,Metropolitan Police,127
E07000105,Ashford,E22000137,Ashford,E23000032,Kent,128
E07000039,South Derbyshire,E22000045,South Derbyshire,E23000018,Derbyshire,129
E07000241,Welwyn Hatfield,E22000132,Welwyn Hatfield,E23000027,Hertfordshire,130
E07000175,Newark and Sherwood,E22000256,Newark and Sherwood,E23000019,Nottinghamshire,131
E06000017,Rutland,E22000172,Rutland,E23000021,Leicestershire,132
E09000021,Kingston upon Thames,E22000206,Kingston upon Thames,E23000001,Metropolitan Police,133
E07000106,Canterbury,E22000138,Canterbury,E23000032,Kent,134
E07000040,East Devon,E22000362,East and Mid Devon,E23000035,Devon & Cornwall,135
E08000001,Bolton,E22000099,Bolton,E23000005,Greater Manchester,136
E06000018,Nottingham,E22000257,Nottingham,E23000019,Nottinghamshire,137
E07000176,Rushcliffe,E22000366,South Nottinghamshire,E23000019,Nottinghamshire,138
E09000022,Lambeth,E22000207,Lambeth,E23000001,Metropolitan Police,139
E07000107,Dartford,E22000352,Dartford and Gravesham,E23000032,Kent,140
E07000041,Exeter,E22000049,Exeter,E23000035,Devon & Cornwall,141
E08000002,Bury,E22000100,Bury,E23000005,Greater Manchester,142
E06000019,"Herefordshire, County of",E22000326,"Herefordshire, County of",E23000016,West Mercia,143
E09000023,Lewisham,E22000208,Lewisham,E23000001,Metropolitan Police,144
E07000108,Dover,E22000140,Dover,E23000032,Kent,145
E07000177,Cherwell,E22000305,Cherwell,E23000029,Thames Valley,146
E07000042,Mid Devon,E22000362,East and Mid Devon,E23000035,Devon & Cornwall,147
E08000003,Manchester,E22000101,Manchester,E23000005,Greater Manchester,148
E09000024,Merton,E22000209,Merton,E23000001,Metropolitan Police,149
E07000109,Gravesham,E22000352,Dartford and Gravesham,E23000032,Kent,150
E06000020,Telford and Wrekin,E22000333,Telford and Wrekin,E23000016,West Mercia,151
E07000178,Oxford,E22000308,Oxford,E23000029,Thames Valley,152
E07000043,North Devon,E22000363,North Devon,E23000035,Devon & Cornwall,153
E08000004,Oldham,E22000102,Oldham,E23000005,Greater Manchester,154
E09000025,Newham,E22000210,Newham,E23000001,Metropolitan Police,155
