ONS Code,Region/Local Authority,Poor or defective road surface ,"Deposit on road (eg. oil, mud, chippings)",Slippery road (due to weather),Inadequate or masked signs or road markings,Defective traffic signals,"Traffic calming (eg. road humps, chicane)",Temporary road layout (eg. contraflow),"Road layout (eg. bend, hill, narrow road)",Animal or object in carriageway ,Slippery inspection cover or road marking,"Tyres illegal, defective or under inflated",Defective lights or indicators,Defective brakes,Defective steering or suspension,Defective or missing mirrors,Overloaded or poorly loaded vehicle or trailer,Disobeyed automatic traffic signal,Disobeyed 'Give Way' or 'Stop' sign or markings,Disobeyed double white lines,Disobeyed pedestrian crossing facility,Illegal turn or direction of travel,Exceeding speed limit,Travelling too fast for conditions,Following too close,Vehicle travelling along pavement,Cyclist entering road from pavement,Junction overshoot,Junction restart (moving off at junction),Poor turn or manoeuvre,Failed to signal or misleading signal,Driver/Rider failed to look properly,Driver/Rider failed to judge other person’s path or speed,"Too close to cyclist, horse rider or pedestrian",Sudden braking,Swerved,Loss of control,Driver/Rider impaired by alcohol,Driver/Rider impaired by drugs (illicit or medicinal),Fatigue,"Uncorrected, defective eyesight","Driver/Rider illness or disability, mental or physical",Not displaying lights at night or in poor visibility,Rider wearing dark clothing,Driver using mobile phone,Distraction in vehicle,Distraction outside vehicle,Aggressive driving,"Driver/Rider careless, reckless or in a hurry","Driver/Rider nervous, uncertain or panic",Driving too slow for conditions or slow veh (eg tractor),Learner or inexperienced driver/rider,Inexperience of driving on the left,Unfamiliar with model of vehicle,Stationary or parked vehicle(s),Vegetation,"Road layout (eg. bend, winding road, hill crest)","Buildings, road signs, street furniture",Dazzling headlights,Dazzling sun,"Rain, sleet, snow, or fog",Spray from other vehicles,"Visor or windscreen dirty, scratched or frosted etc.",Vehicle blind spot,Crossing road masked by stationary or parked vehicle,Pedestrian failed to look properly,Pedestrian failed to judge vehicle’s path or speed,Pedestrian wrong use of pedestrian crossing facility,Dangerous action in carriageway (eg. playing),Pedestrian impaired by alcohol,Pedestrian impaired by drugs (illicit or medicinal),"Pedestrian careless, reckless or in a hurry",Pedestrian wearing dark clothing at night,"Pedestrian disability or illness, mental or physical",Stolen vehicle,Vehicle in course of crime,Emergency vehicle on a call,Vehicle door opened or closed negligently,Other
E12000001,North East,28,64,390,23,13,11,8,63,48,0,18,5,25,6,0,11,60,119,6,13,29,160,290,225,11,54,137,71,527,75,1656,775,36,255,110,474,215,43,60,11,73,16,18,13,92,53,153,727,79,5,183,9,26,106,11,51,14,12,149,52,7,5,37,101,423,117,33,49,109,18,166,37,26,43,14,16,5,123
E06000047,County Durham,5,20,96,9,1,3,2,18,11,0,7,0,6,2,0,4,9,32,4,1,9,54,111,58,2,11,33,5,128,17,341,158,5,41,21,110,59,9,18,1,15,2,3,2,23,12,48,111,12,0,45,3,6,10,2,12,4,3,32,7,0,2,2,19,71,27,2,15,27,4,31,12,3,5,4,4,0,36
E06000005,Darlington,2,5,22,0,0,0,0,2,0,0,0,1,0,0,0,0,1,9,0,1,2,6,20,12,1,5,4,0,24,2,65,32,1,10,6,19,6,2,1,0,3,1,3,0,5,5,4,17,1,0,9,0,1,3,1,2,0,1,4,3,1,0,0,8,21,5,0,1,2,0,8,4,1,2,0,1,0,7
E08000020,Gateshead,1,3,31,1,1,0,1,2,3,0,1,0,3,0,0,0,9,10,0,0,3,10,18,27,0,3,13,8,37,6,139,72,3,27,7,35,14,4,3,1,8,0,1,1,5,3,11,65,8,1,16,0,1,10,0,2,2,0,6,7,0,1,3,3,40,16,3,6,10,4,15,3,8,3,1,1,0,8
E06000001,Hartlepool,0,0,4,1,1,0,0,3,1,0,0,0,0,0,0,0,2,4,0,0,2,3,4,8,0,0,4,3,9,3,35,27,0,10,4,10,9,2,2,0,3,1,1,0,6,0,5,9,4,1,4,0,0,4,1,2,0,0,8,1,0,1,0,5,8,4,1,2,1,0,7,0,0,3,3,0,0,1
E06000002,Middlesbrough,0,1,16,0,2,0,1,2,0,0,3,1,0,1,0,0,4,7,0,3,1,7,20,13,1,7,6,5,23,0,92,53,1,13,1,16,2,2,4,0,1,2,1,0,5,4,6,21,1,0,12,0,2,14,0,0,1,0,6,6,1,0,4,9,30,3,5,3,5,0,12,2,0,5,2,1,1,8
E08000021,Newcastle upon Tyne,2,0,20,0,1,0,0,2,5,0,1,0,1,0,0,2,15,14,1,3,4,18,18,22,2,4,16,9,51,11,225,88,7,25,10,25,20,5,6,1,6,4,5,2,11,10,23,132,10,1,13,2,0,17,1,4,3,4,15,8,1,0,9,20,76,19,8,6,36,5,29,3,6,5,2,2,0,11
E08000022,North Tyneside,2,1,16,6,1,2,0,2,3,0,0,0,2,1,0,1,4,6,0,1,1,3,8,14,0,4,5,8,26,7,145,57,3,21,7,27,15,2,4,0,3,0,0,2,5,1,7,64,9,0,17,0,3,15,1,2,0,1,18,3,0,1,5,9,28,8,3,3,1,0,5,2,1,2,0,1,0,9
E06000048,Northumberland,8,16,115,4,1,3,1,19,18,0,4,2,2,0,0,3,1,10,0,1,2,20,52,27,2,4,13,14,85,11,191,89,4,43,31,127,34,7,13,4,16,2,1,4,9,6,16,116,11,0,24,3,7,9,0,13,0,2,19,8,2,0,6,10,30,9,3,5,8,1,8,5,2,6,0,2,1,10
E06000003,Redcar and Cleveland,2,7,17,0,1,0,1,7,0,0,1,0,3,0,0,0,1,3,1,0,1,11,14,12,1,1,7,2,20,4,55,34,2,13,3,33,14,1,2,0,4,2,1,0,7,3,5,24,5,0,9,0,2,4,2,3,0,1,7,2,0,0,1,3,17,7,0,2,3,0,12,1,0,3,1,0,1,8
E08000023,South Tyneside,1,2,11,0,1,2,1,0,2,0,0,0,0,0,0,1,4,5,0,1,2,0,3,10,2,1,5,3,25,4,84,22,1,15,4,10,15,1,2,0,4,1,1,0,4,1,5,50,5,0,5,0,0,3,0,0,0,0,8,1,0,0,2,2,16,3,1,1,0,0,6,1,1,4,1,0,0,6
E06000004,Stockton-on-Tees,1,6,15,2,2,1,1,4,3,0,0,1,1,0,0,0,4,7,0,0,1,8,5,11,0,4,6,8,36,4,101,66,4,13,10,22,5,2,2,1,1,0,1,1,4,2,7,28,4,2,11,0,0,6,1,3,2,0,14,3,2,0,1,5,32,5,3,1,1,1,9,2,2,4,0,3,1,10
E08000024,Sunderland,4,3,27,0,1,0,0,2,2,0,1,0,7,2,0,0,6,12,0,2,1,20,17,11,0,10,25,6,63,6,183,77,5,24,6,40,22,6,3,3,9,1,0,1,8,6,16,90,9,0,18,1,4,11,2,8,2,0,12,3,0,0,4,8,54,11,4,4,15,3,24,2,2,1,0,1,1,9
E12000002,North West,102,162,1019,96,24,24,36,265,111,0,83,18,75,25,1,32,323,380,28,43,100,546,956,793,39,181,388,346,1968,271,5439,2948,210,756,427,1621,572,86,149,27,197,56,65,37,304,184,496,1619,208,9,561,38,77,512,28,128,34,37,288,245,32,7,185,443,1493,484,89,179,341,36,539,130,76,125,65,84,47,369
E06000008,Blackburn with Darwen,2,4,31,1,2,3,0,5,1,0,1,0,3,0,0,2,15,11,0,0,4,19,32,19,1,1,12,8,45,11,140,73,6,11,11,30,11,3,3,1,3,0,1,2,7,6,6,40,8,1,15,0,5,16,0,2,1,1,4,9,1,1,6,24,47,17,3,10,13,5,25,6,0,1,4,1,1,13
