Year,Country,Region,Police force,Offence class (no.),Offence,Offence grouping,Number of endorsable FPNs,Number of non-endorsable FPNs,Total FPNs
2007,England,South West,Avon and Somerset,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,32,23,55
2007,England,South West,Avon and Somerset,4b,Use of hand-held mobile phone while driving,Careless driving,1550,415,1965
2007,England,South West,Avon and Somerset,7,Driving licence related offences,"Licence, insurance and record keeping offences",227,0,227
2007,England,South West,Avon and Somerset,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",289,,289
2007,England,South West,Avon and Somerset,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,10362,10362
2007,England,South West,Avon and Somerset,13,Vehicle test offences,Vehicle test and condition offences,,721,721
2007,England,South West,Avon and Somerset,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,167,88,255
2007,England,South West,Avon and Somerset,16,Speed limit offences,Speed limit offences,57746,,57746
2007,England,South West,Avon and Somerset,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,72,21,93
2007,England,South West,Avon and Somerset,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,5806,899,6705
2007,England,South West,Avon and Somerset,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,224,644,868
2007,England,South West,Avon and Somerset,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",5,12834,12839
2007,England,South West,Avon and Somerset,21,Lighting offences,Lighting and noise offences,,378,378
2007,England,South West,Avon and Somerset,22,Noise offences,Lighting and noise offences,,30,30
2007,England,South West,Avon and Somerset,23,Load offences,Other offences,0,79,79
2007,England,South West,Avon and Somerset,24,Offences peculiar to motor cycles,Other offences,2,47,49
2007,England,South West,Avon and Somerset,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,141,141
2007,England,South West,Avon and Somerset,25b,Seat belt offences,Miscellaneous motoring offences,,2544,2544
2007,England,East of England,Bedfordshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,29,14,43
2007,England,East of England,Bedfordshire,4b,Use of hand-held mobile phone while driving,Careless driving,936,447,1383
2007,England,East of England,Bedfordshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",34,0,34
2007,England,East of England,Bedfordshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",9,,9
2007,England,East of England,Bedfordshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,495,495
2007,England,East of England,Bedfordshire,13,Vehicle test offences,Vehicle test and condition offences,,4,4
2007,England,East of England,Bedfordshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,87,71,158
2007,England,East of England,Bedfordshire,16,Speed limit offences,Speed limit offences,30029,,30029
2007,England,East of England,Bedfordshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,28,22,50
2007,England,East of England,Bedfordshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,2253,445,2698
2007,England,East of England,Bedfordshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,86,17,103
2007,England,East of England,Bedfordshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",0,795,795
2007,England,East of England,Bedfordshire,21,Lighting offences,Lighting and noise offences,,202,202
2007,England,East of England,Bedfordshire,22,Noise offences,Lighting and noise offences,,10,10
2007,England,East of England,Bedfordshire,23,Load offences,Other offences,0,18,18
2007,England,East of England,Bedfordshire,24,Offences peculiar to motor cycles,Other offences,2,16,18
2007,England,East of England,Bedfordshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,5,5
2007,England,East of England,Bedfordshire,25b,Seat belt offences,Miscellaneous motoring offences,,3759,3759
2007,England,East of England,Cambridgeshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,21,40,61
2007,England,East of England,Cambridgeshire,4b,Use of hand-held mobile phone while driving,Careless driving,1668,521,2189
2007,England,East of England,Cambridgeshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",115,0,115
2007,England,East of England,Cambridgeshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",193,,193
2007,England,East of England,Cambridgeshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1138,1138
2007,England,East of England,Cambridgeshire,13,Vehicle test offences,Vehicle test and condition offences,,311,311
2007,England,East of England,Cambridgeshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,215,75,290
2007,England,East of England,Cambridgeshire,16,Speed limit offences,Speed limit offences,25371,,25371
2007,England,East of England,Cambridgeshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,10,7,17
2007,England,East of England,Cambridgeshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,366,975,1341
2007,England,East of England,Cambridgeshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,141,5,146
2007,England,East of England,Cambridgeshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",13,7185,7198
2007,England,East of England,Cambridgeshire,21,Lighting offences,Lighting and noise offences,,295,295
2007,England,East of England,Cambridgeshire,22,Noise offences,Lighting and noise offences,,53,53
2007,England,East of England,Cambridgeshire,23,Load offences,Other offences,0,3,3
2007,England,East of England,Cambridgeshire,24,Offences peculiar to motor cycles,Other offences,0,20,20
2007,England,East of England,Cambridgeshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,2,2
2007,England,East of England,Cambridgeshire,25b,Seat belt offences,Miscellaneous motoring offences,,4341,4341
2007,England,North West,Cheshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,100,62,162
2007,England,North West,Cheshire,4b,Use of hand-held mobile phone while driving,Careless driving,2889,1166,4055
2007,England,North West,Cheshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",78,0,78
2007,England,North West,Cheshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",137,,137
2007,England,North West,Cheshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1630,1630
2007,England,North West,Cheshire,13,Vehicle test offences,Vehicle test and condition offences,,81,81
2007,England,North West,Cheshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,149,90,239
2007,England,North West,Cheshire,16,Speed limit offences,Speed limit offences,26992,,26992
2007,England,North West,Cheshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,169,44,213
2007,England,North West,Cheshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,6988,1243,8231
2007,England,North West,Cheshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,186,32,218
2007,England,North West,Cheshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",0,13891,13891
2007,England,North West,Cheshire,21,Lighting offences,Lighting and noise offences,,354,354
2007,England,North West,Cheshire,22,Noise offences,Lighting and noise offences,,24,24
2007,England,North West,Cheshire,23,Load offences,Other offences,0,3,3
2007,England,North West,Cheshire,24,Offences peculiar to motor cycles,Other offences,2,20,22
2007,England,North West,Cheshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,9,9
2007,England,North West,Cheshire,25b,Seat belt offences,Miscellaneous motoring offences,,4229,4229
2007,England,North East,Cleveland,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,13,41,54
2007,England,North East,Cleveland,4b,Use of hand-held mobile phone while driving,Careless driving,1033,462,1495
2007,England,North East,Cleveland,7,Driving licence related offences,"Licence, insurance and record keeping offences",44,0,44
2007,England,North East,Cleveland,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",100,,100
2007,England,North East,Cleveland,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,655,655
2007,England,North East,Cleveland,13,Vehicle test offences,Vehicle test and condition offences,,33,33
2007,England,North East,Cleveland,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,98,168,266
2007,England,North East,Cleveland,16,Speed limit offences,Speed limit offences,13951,,13951
2007,England,North East,Cleveland,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,0,0,0
2007,England,North East,Cleveland,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,294,954,1248
2007,England,North East,Cleveland,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,91,30,121
2007,England,North East,Cleveland,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",1,1090,1091
2007,England,North East,Cleveland,21,Lighting offences,Lighting and noise offences,,217,217
2007,England,North East,Cleveland,22,Noise offences,Lighting and noise offences,,10,10
2007,England,North East,Cleveland,23,Load offences,Other offences,0,10,10
2007,England,North East,Cleveland,24,Offences peculiar to motor cycles,Other offences,0,30,30
2007,England,North East,Cleveland,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,0,0
2007,England,North East,Cleveland,25b,Seat belt offences,Miscellaneous motoring offences,,2234,2234
2007,England,North West,Cumbria,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,43,23,66
2007,England,North West,Cumbria,4b,Use of hand-held mobile phone while driving,Careless driving,778,200,978
2007,England,North West,Cumbria,7,Driving licence related offences,"Licence, insurance and record keeping offences",54,0,54
2007,England,North West,Cumbria,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",0,,0
2007,England,North West,Cumbria,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,279,279
2007,England,North West,Cumbria,13,Vehicle test offences,Vehicle test and condition offences,,1,1
2007,England,North West,Cumbria,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,180,11,191
2007,England,North West,Cumbria,16,Speed limit offences,Speed limit offences,29096,,29096
2007,England,North West,Cumbria,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,52,51,103
2007,England,North West,Cumbria,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,348,463,811
2007,England,North West,Cumbria,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,186,16,202
2007,England,North West,Cumbria,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",4,521,525
2007,England,North West,Cumbria,21,Lighting offences,Lighting and noise offences,,429,429
2007,England,North West,Cumbria,22,Noise offences,Lighting and noise offences,,32,32
2007,England,North West,Cumbria,23,Load offences,Other offences,39,13,52
2007,England,North West,Cumbria,24,Offences peculiar to motor cycles,Other offences,0,7,7
2007,England,North West,Cumbria,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,1,1
2007,England,North West,Cumbria,25b,Seat belt offences,Miscellaneous motoring offences,,2905,2905
2007,England,East Midlands,Derbyshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,14,0,14
2007,England,East Midlands,Derbyshire,4b,Use of hand-held mobile phone while driving,Careless driving,1459,462,1921
2007,England,East Midlands,Derbyshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",134,0,134
2007,England,East Midlands,Derbyshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",314,,314
2007,England,East Midlands,Derbyshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,613,613
2007,England,East Midlands,Derbyshire,13,Vehicle test offences,Vehicle test and condition offences,,155,155
2007,England,East Midlands,Derbyshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,90,65,155
2007,England,East Midlands,Derbyshire,16,Speed limit offences,Speed limit offences,22389,,22389
2007,England,East Midlands,Derbyshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,42,9,51
2007,England,East Midlands,Derbyshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,248,1032,1280
2007,England,East Midlands,Derbyshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,78,15,93
2007,England,East Midlands,Derbyshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",0,4191,4191
2007,England,East Midlands,Derbyshire,21,Lighting offences,Lighting and noise offences,,586,586
2007,England,East Midlands,Derbyshire,22,Noise offences,Lighting and noise offences,,11,11
2007,England,East Midlands,Derbyshire,23,Load offences,Other offences,0,6,6
2007,England,East Midlands,Derbyshire,24,Offences peculiar to motor cycles,Other offences,0,26,26
2007,England,East Midlands,Derbyshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,4,4
2007,England,East Midlands,Derbyshire,25b,Seat belt offences,Miscellaneous motoring offences,,4283,4283
2007,England,South West,Devon and Cornwall,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,0,47,47
2007,England,South West,Devon and Cornwall,4b,Use of hand-held mobile phone while driving,Careless driving,1775,392,2167
2007,England,South West,Devon and Cornwall,7,Driving licence related offences,"Licence, insurance and record keeping offences",143,0,143
2007,England,South West,Devon and Cornwall,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",169,,169
2007,England,South West,Devon and Cornwall,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,10914,10914
2007,England,South West,Devon and Cornwall,13,Vehicle test offences,Vehicle test and condition offences,,413,413
2007,England,South West,Devon and Cornwall,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,200,243,443
2007,England,South West,Devon and Cornwall,16,Speed limit offences,Speed limit offences,62549,,62549
2007,England,South West,Devon and Cornwall,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,31,0,31
2007,England,South West,Devon and Cornwall,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,4945,1334,6279
2007,England,South West,Devon and Cornwall,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,240,20,260
2007,England,South West,Devon and Cornwall,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",5,31591,31596
2007,England,South West,Devon and Cornwall,21,Lighting offences,Lighting and noise offences,,393,393
2007,England,South West,Devon and Cornwall,22,Noise offences,Lighting and noise offences,,127,127
2007,England,South West,Devon and Cornwall,23,Load offences,Other offences,78,54,132
2007,England,South West,Devon and Cornwall,24,Offences peculiar to motor cycles,Other offences,0,33,33
2007,England,South West,Devon and Cornwall,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,46,46
2007,England,South West,Devon and Cornwall,25b,Seat belt offences,Miscellaneous motoring offences,,3694,3694
2007,England,South West,Dorset,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,2,25,27
2007,England,South West,Dorset,4b,Use of hand-held mobile phone while driving,Careless driving,1432,492,1924
2007,England,South West,Dorset,7,Driving licence related offences,"Licence, insurance and record keeping offences",159,0,159
2007,England,South West,Dorset,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",323,,323
2007,England,South West,Dorset,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,588,588
2007,England,South West,Dorset,13,Vehicle test offences,Vehicle test and condition offences,,765,765
2007,England,South West,Dorset,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,77,82,159
2007,England,South West,Dorset,16,Speed limit offences,Speed limit offences,36900,,36900
2007,England,South West,Dorset,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,0,0,0
2007,England,South West,Dorset,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,2066,679,2745
2007,England,South West,Dorset,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,109,18,127
2007,England,South West,Dorset,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",0,359,359
2007,England,South West,Dorset,21,Lighting offences,Lighting and noise offences,,99,99
2007,England,South West,Dorset,22,Noise offences,Lighting and noise offences,,15,15
2007,England,South West,Dorset,23,Load offences,Other offences,0,67,67
2007,England,South West,Dorset,24,Offences peculiar to motor cycles,Other offences,4,45,49
2007,England,South West,Dorset,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,14,14
2007,England,South West,Dorset,25b,Seat belt offences,Miscellaneous motoring offences,,1575,1575
2007,England,North East,Durham,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,5,6,11
2007,England,North East,Durham,4b,Use of hand-held mobile phone while driving,Careless driving,823,252,1075
2007,England,North East,Durham,7,Driving licence related offences,"Licence, insurance and record keeping offences",29,0,29
2007,England,North East,Durham,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",1,,1
2007,England,North East,Durham,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,127,127
2007,England,North East,Durham,13,Vehicle test offences,Vehicle test and condition offences,,0,0
2007,England,North East,Durham,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,28,160,188
2007,England,North East,Durham,16,Speed limit offences,Speed limit offences,3138,,3138
2007,England,North East,Durham,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,2,0,2
2007,England,North East,Durham,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,244,443,687
2007,England,North East,Durham,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,117,11,128
2007,England,North East,Durham,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",1,6128,6129
2007,England,North East,Durham,21,Lighting offences,Lighting and noise offences,,106,106
2007,England,North East,Durham,22,Noise offences,Lighting and noise offences,,13,13
2007,England,North East,Durham,23,Load offences,Other offences,11,2,13
2007,England,North East,Durham,24,Offences peculiar to motor cycles,Other offences,0,11,11
2007,England,North East,Durham,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,0,0
2007,England,North East,Durham,25b,Seat belt offences,Miscellaneous motoring offences,,1400,1400
2007,England,East of England,Essex,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,87,64,151
2007,England,East of England,Essex,4b,Use of hand-held mobile phone while driving,Careless driving,3533,1473,5006
2007,England,East of England,Essex,7,Driving licence related offences,"Licence, insurance and record keeping offences",333,0,333
2007,England,East of England,Essex,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",790,,790
2007,England,East of England,Essex,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1255,1255
2007,England,East of England,Essex,13,Vehicle test offences,Vehicle test and condition offences,,1310,1310
2007,England,East of England,Essex,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,295,466,761
2007,England,East of England,Essex,16,Speed limit offences,Speed limit offences,44796,,44796
2007,England,East of England,Essex,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,106,12,118
2007,England,East of England,Essex,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,5869,1339,7208
2007,England,East of England,Essex,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,160,40,200
2007,England,East of England,Essex,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",4,3728,3732
2007,England,East of England,Essex,21,Lighting offences,Lighting and noise offences,,546,546
2007,England,East of England,Essex,22,Noise offences,Lighting and noise offences,,109,109
2007,England,East of England,Essex,23,Load offences,Other offences,0,47,47
2007,England,East of England,Essex,24,Offences peculiar to motor cycles,Other offences,5,63,68
2007,England,East of England,Essex,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,19,19
2007,England,East of England,Essex,25b,Seat belt offences,Miscellaneous motoring offences,,14723,14723
2007,England,South West,Gloucestershire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,0,57,57
2007,England,South West,Gloucestershire,4b,Use of hand-held mobile phone while driving,Careless driving,751,212,963
2007,England,South West,Gloucestershire,7,Driving licence related offences,"Licence, insurance and record keeping offences",64,0,64
2007,England,South West,Gloucestershire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",163,,163
2007,England,South West,Gloucestershire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,191,191
2007,England,South West,Gloucestershire,13,Vehicle test offences,Vehicle test and condition offences,,0,0
2007,England,South West,Gloucestershire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,38,46,84
2007,England,South West,Gloucestershire,16,Speed limit offences,Speed limit offences,9380,,9380
2007,England,South West,Gloucestershire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,6,2,8
2007,England,South West,Gloucestershire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,589,54,643
2007,England,South West,Gloucestershire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,17,16,33
2007,England,South West,Gloucestershire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",1,12132,12133
2007,England,South West,Gloucestershire,21,Lighting offences,Lighting and noise offences,,67,67
2007,England,South West,Gloucestershire,22,Noise offences,Lighting and noise offences,,9,9
2007,England,South West,Gloucestershire,23,Load offences,Other offences,0,29,29
2007,England,South West,Gloucestershire,24,Offences peculiar to motor cycles,Other offences,1,24,25
2007,England,South West,Gloucestershire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,1,1
2007,England,South West,Gloucestershire,25b,Seat belt offences,Miscellaneous motoring offences,,1244,1244
2007,England,North West,Greater Manchester,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,54,115,169
2007,England,North West,Greater Manchester,4b,Use of hand-held mobile phone while driving,Careless driving,5930,2547,8477
2007,England,North West,Greater Manchester,7,Driving licence related offences,"Licence, insurance and record keeping offences",251,0,251
2007,England,North West,Greater Manchester,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",2,,2
2007,England,North West,Greater Manchester,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,5084,5084
2007,England,North West,Greater Manchester,13,Vehicle test offences,Vehicle test and condition offences,,1,1
2007,England,North West,Greater Manchester,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,301,4105,4406
2007,England,North West,Greater Manchester,16,Speed limit offences,Speed limit offences,42609,,42609
2007,England,North West,Greater Manchester,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,491,312,803
2007,England,North West,Greater Manchester,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,12875,1715,14590
2007,England,North West,Greater Manchester,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,335,801,1136
2007,England,North West,Greater Manchester,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",1,3830,3831
2007,England,North West,Greater Manchester,21,Lighting offences,Lighting and noise offences,,586,586
2007,England,North West,Greater Manchester,22,Noise offences,Lighting and noise offences,,19,19
2007,England,North West,Greater Manchester,23,Load offences,Other offences,0,220,220
2007,England,North West,Greater Manchester,24,Offences peculiar to motor cycles,Other offences,2,62,64
2007,England,North West,Greater Manchester,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,2,2
2007,England,North West,Greater Manchester,25b,Seat belt offences,Miscellaneous motoring offences,,18357,18357
2007,England,South East,Hampshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,0,0,0
2007,England,South East,Hampshire,4b,Use of hand-held mobile phone while driving,Careless driving,4127,1163,5290
2007,England,South East,Hampshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",372,0,372
2007,England,South East,Hampshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",635,,635
2007,England,South East,Hampshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,3096,3096
2007,England,South East,Hampshire,13,Vehicle test offences,Vehicle test and condition offences,,870,870
2007,England,South East,Hampshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,204,40,244
2007,England,South East,Hampshire,16,Speed limit offences,Speed limit offences,49324,,49324
2007,England,South East,Hampshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,120,54,174
2007,England,South East,Hampshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,1468,1786,3254
2007,England,South East,Hampshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,203,106,309
2007,England,South East,Hampshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",11,4336,4347
2007,England,South East,Hampshire,21,Lighting offences,Lighting and noise offences,,388,388
2007,England,South East,Hampshire,22,Noise offences,Lighting and noise offences,,44,44
2007,England,South East,Hampshire,23,Load offences,Other offences,0,66,66
2007,England,South East,Hampshire,24,Offences peculiar to motor cycles,Other offences,20,101,121
2007,England,South East,Hampshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,0,0
2007,England,South East,Hampshire,25b,Seat belt offences,Miscellaneous motoring offences,,9013,9013
2007,England,East of England,Hertfordshire,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,42,789,831
2007,England,East of England,Hertfordshire,4b,Use of hand-held mobile phone while driving,Careless driving,2720,,2720
2007,England,East of England,Hertfordshire,7,Driving licence related offences,"Licence, insurance and record keeping offences",224,0,224
2007,England,East of England,Hertfordshire,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",776,,776
2007,England,East of England,Hertfordshire,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,3705,3705
2007,England,East of England,Hertfordshire,13,Vehicle test offences,Vehicle test and condition offences,,1372,1372
2007,England,East of England,Hertfordshire,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,170,47,217
2007,England,East of England,Hertfordshire,16,Speed limit offences,Speed limit offences,41593,,41593
2007,England,East of England,Hertfordshire,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,120,30,150
2007,England,East of England,Hertfordshire,18,Neglect of traffic directions,Neglect of traffic signs and directions and of pedestrian rights,3561,0,3561
2007,England,East of England,Hertfordshire,19,Neglect of pedestrian rights,Neglect of traffic signs and directions and of pedestrian rights,89,6,95
2007,England,East of England,Hertfordshire,20,"Obstruction, waiting and parking offences","Obstruction, waiting and parking offences",1,1900,1901
2007,England,East of England,Hertfordshire,21,Lighting offences,Lighting and noise offences,,267,267
2007,England,East of England,Hertfordshire,22,Noise offences,Lighting and noise offences,,18,18
2007,England,East of England,Hertfordshire,23,Load offences,Other offences,0,32,32
2007,England,East of England,Hertfordshire,24,Offences peculiar to motor cycles,Other offences,3,39,42
2007,England,East of England,Hertfordshire,25a,Miscellaneous motoring offences (excluding seat belt offences),Miscellaneous motoring offences,0,21,21
2007,England,East of England,Hertfordshire,25b,Seat belt offences,Miscellaneous motoring offences,,5513,5513
2007,England,Yorkshire & The Humber,Humberside,4a,Use offences involving careless driving (excluding use of hand-held mobile phone when driving),Careless driving,69,45,114
2007,England,Yorkshire & The Humber,Humberside,4b,Use of hand-held mobile phone while driving,Careless driving,2076,341,2417
2007,England,Yorkshire & The Humber,Humberside,7,Driving licence related offences,"Licence, insurance and record keeping offences",164,0,164
2007,England,Yorkshire & The Humber,Humberside,9,Vehicle insurance offences,"Licence, insurance and record keeping offences",0,,0
2007,England,Yorkshire & The Humber,Humberside,10,Vehicle registration and excise licence offences,"Licence, insurance and record keeping offences",,1366,1366
2007,England,Yorkshire & The Humber,Humberside,13,Vehicle test offences,Vehicle test and condition offences,,0,0
2007,England,Yorkshire & The Humber,Humberside,15,Vehicle or part in dangerous or defective condition,Vehicle test and condition offences,173,156,329
2007,England,Yorkshire & The Humber,Humberside,16,Speed limit offences,Speed limit offences,34184,,34184
2007,England,Yorkshire & The Humber,Humberside,17,Motorway offences (other than speeding),Neglect of traffic signs and directions and of pedestrian rights,17,7,24
